Name.Mapping.File	Target	Temp	Isotope	Fraction	Treatment
Bacteria.15degrees.13C.Acetate.Fraction.Light	Bacteria	15	13C	Light	Acetate
Bacteria.15degrees.13C.Acetate.Fraction.Midpoint	Bacteria	15	13C	Midpoint	Acetate
Bacteria.15degrees.13C.Acetate.Fraction.Ultra-heavy	Bacteria	15	13C	Ultraheavy	Acetate
Bacteria.15degrees.13C.Acetate.Fraction.Ultra-light	Bacteria	15	13C	Ultralight	Acetate
Bacteria.15degrees.13C.Acetate.Lepidocrocite.Fraction.Heavy	Bacteria	15	13C	Heavy	Acetate.Lepidocrocite
Bacteria.15degrees.13C.Acetate.Lepidocrocite.Fraction.Light	Bacteria	15	13C	Light	Acetate.Lepidocrocite
Bacteria.15degrees.13C.Acetate.Lepidocrocite.Fraction.Midpoint	Bacteria	15	13C	Midpoint	Acetate.Lepidocrocite
Bacteria.15degrees.13C.Acetate.Lepidocrocite.Fraction.Ultra-heavy	Bacteria	15	13C	Ultraheavy	Acetate.Lepidocrocite
Bacteria.15degrees.13C.Acetate.Lepidocrocite.Fraction.Ultra-light	Bacteria	15	13C	Ultralight	Acetate.Lepidocrocite
Bacteria.15degrees.13C.Acetate.Sulfate.Fraction.Heavy	Bacteria	15	13C	Heavy	Acetate.Sulfate
Bacteria.15degrees.13C.Acetate.Sulfate.Fraction.Light	Bacteria	15	13C	Light	Acetate.Sulfate
Bacteria.15degrees.13C.Acetate.Sulfate.Fraction.Midpoint	Bacteria	15	13C	Midpoint	Acetate.Sulfate
Bacteria.15degrees.13C.Acetate.Sulfate.Fraction.Ultra-heavy	Bacteria	15	13C	Ultraheavy	Acetate.Sulfate
Bacteria.15degrees.13C.Acetate.Sulfate.Fraction.Ultra-light	Bacteria	15	13C	Ultralight	Acetate.Sulfate
Bacteria.20degrees.12C.Acetate.Fraction.Heavy	Bacteria	20	12C	Heavy	Acetate
Bacteria.20degrees.12C.Acetate.Fraction.Light	Bacteria	20	12C	Light	Acetate
Bacteria.20degrees.12C.Acetate.Fraction.Midpoint	Bacteria	20	12C	Midpoint	Acetate
Bacteria.20degrees.12C.Acetate.Fraction.Ultra-heavy	Bacteria	20	12C	Ultraheavy	Acetate
Bacteria.20degrees.12C.Acetate.Fraction.Ultra-light	Bacteria	20	12C	Ultralight	Acetate
Bacteria.20degrees.12C.Acetate.Lepidocrocite.Fraction.Heavy	Bacteria	20	12C	Heavy	Acetate.Lepidocrocite
Bacteria.20degrees.12C.Acetate.Lepidocrocite.Fraction.Light	Bacteria	20	12C	Light	Acetate.Lepidocrocite
Bacteria.20degrees.12C.Acetate.Lepidocrocite.Fraction.Midpoint	Bacteria	20	12C	Midpoint	Acetate.Lepidocrocite
Bacteria.20degrees.12C.Acetate.Lepidocrocite.Fraction.Ultra-heavy	Bacteria	20	12C	Ultraheavy	Acetate.Lepidocrocite
Bacteria.20degrees.12C.Acetate.Lepidocrocite.Fraction.Ultra-light	Bacteria	20	12C	Ultralight	Acetate.Lepidocrocite
Bacteria.20degrees.12C.Acetate.Sulfate.Fraction.Heavy	Bacteria	20	12C	Heavy	Acetate.Sulfate
Bacteria.20degrees.12C.Acetate.Sulfate.Fraction.Light	Bacteria	20	12C	Light	Acetate.Sulfate
Bacteria.20degrees.12C.Acetate.Sulfate.Fraction.Midpoint	Bacteria	20	12C	Midpoint	Acetate.Sulfate
Bacteria.20degrees.12C.Acetate.Sulfate.Fraction.Ultra-heavy	Bacteria	20	12C	Ultraheavy	Acetate.Sulfate
Bacteria.20degrees.12C.Acetate.Sulfate.Fraction.Ultra-light	Bacteria	20	12C	Ultralight	Acetate.Sulfate
Bacteria.20degrees.13C.Acetate.Fraction.Heavy	Bacteria	20	13C	Heavy	Acetate
Bacteria.20degrees.13C.Acetate.Fraction.Light	Bacteria	20	13C	Light	Acetate
